date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
10/13/2014,158.2789,159.2687,156.5125,156.5978,3599924,3599924,-2.0565,-1.296,157.8643,13-Oct-14,-0.003639376
10/14/2014,157.7669,158.4751,156.6576,156.8368,3924974,3924974,0.238925,0.153,157.5071,14-Oct-14,-0.002118728
10/15/2014,155.6933,156.8282,152.5266,155.0875,6897656,6897656,-1.7493,-1.115,154.5918,15-Oct-14,-0.013248728
10/16/2014,153.4236,154.8571,152.4764,153.4577,5578683,5578683,-1.6298,-1.051,153.6432,16-Oct-14,-0.023618405
10/17/2014,154.6523,156.0176,153.782,155.3435,4354442,4354442,1.8858,1.229,155.1601,17-Oct-14,-0.011619917
10/20/2014,142.369,145.3437,142.2368,144.2932,23416511,23416511,-11.0503,-7.113,144.2291,20-Oct-14,-0.081927953
10/21/2014,141.9893,142.2283,137.9617,139.2844,20953605,20953605,-5.0089,-3.471,139.2766,21-Oct-14,-0.113796671
10/22/2014,138.5847,141.1446,137.4668,138.0556,11091424,11091424,-1.2288,-0.882,139.0432,22-Oct-14,-0.121614967
10/23/2014,138.3372,138.943,137.8423,138.3884,7600270,7600270,0.332787,0.241,138.3978,23-Oct-14,-0.119497512
10/24/2014,138.3031,138.6103,137.7655,138.3031,6652379,6652379,-0.085327,-0.062,138.1158,24-Oct-14,-0.120040237
10/27/2014,138.2348,139.0113,138.0727,138.1239,4989437,4989437,-0.179194,-0.13,138.4253,27-Oct-14,-0.121180405
10/28/2014,138.2348,139.6001,138.0641,139.6001,7896863,7896863,1.4762,1.069,138.7962,28-Oct-14,-0.111788015
10/29/2014,140.223,140.4662,138.8833,139.4806,4741689,4741689,-0.119462,-0.086,139.6582,29-Oct-14,-0.112548339
10/30/2014,139.5148,140.4705,139.1052,140.2401,3895979,3895979,0.759438,0.544,139.8508,30-Oct-14,-0.107715986
10/31/2014,141.2043,141.2982,139.6142,140.2827,5818375,5818375,0.042665,0.03,140.024,31-Oct-14,-0.107444942
11/3/2014,140.1547,140.4022,139.4081,140.2486,4690274,4690274,-0.034133,-0.024,139.9821,3-Nov-14,-0.107661905
11/4/2014,140.2315,140.2486,138.4396,138.7894,4247079,4247079,-1.4591,-1.04,139.0983,4-Nov-14,-0.116946131
11/5/2014,139.199,139.5489,137.8594,138.0812,4104747,4104747,-0.708236,-0.51,138.2375,5-Nov-14,-0.121452086
11/6/2014,138.5624,138.7772,137.5056,138.717,4067641,4067641,0.635806,0.46,138.3292,6-Nov-14,-0.117406779
11/7/2014,138.6827,139.3587,138.1929,139.2411,3494803,3494803,0.524078,0.378,138.9048,7-Nov-14,-0.114072169
11/10/2014,139.095,141.303,138.8459,140.4611,4958236,4958236,1.22,0.876,140.6575,10-Nov-14,-0.106309864
11/11/2014,140.6415,140.8133,139.6964,140.2978,3535694,3535694,-0.163238,-0.116,140.3398,11-Nov-14,-0.107348867
11/12/2014,139.4215,140.0401,138.9748,139.1122,3378229,3378229,-1.1856,-0.845,139.3136,12-Nov-14,-0.114892301
11/13/2014,139.181,139.8683,139.0091,139.8597,3239726,3239726,0.747456,0.537,139.498,13-Nov-14,-0.110136298
11/14/2014,139.2669,141.3202,138.9146,141.0367,4978415,4978415,1.177,0.842,140.7618,14-Nov-14,-0.102647582
11/17/2014,141.0367,141.7326,140.6587,141.0367,4798933,4798933,0,0,141.2107,17-Nov-14,-0.102647582
11/18/2014,141.5264,141.5436,139.0864,139.0864,5412495,5412495,-1.9503,-1.383,139.5557,18-Nov-14,-0.115056455
11/19/2014,139.2239,139.2669,138.2874,138.6912,3802631,3802631,-0.395204,-0.284,138.6514,19-Nov-14,-0.117570933
11/20/2014,138.2789,138.7514,137.2908,138.0125,4183102,4183102,-0.678722,-0.489,137.7317,20-Nov-14,-0.121889192
11/21/2014,139.0349,139.138,138.107,138.2531,4076875,4076875,0.240559,0.174,138.5388,21-Nov-14,-0.120358364
11/24/2014,138.7857,140.779,138.3734,139.3098,6619032,6619032,1.0567,0.764,139.6879,24-Nov-14,-0.113635062
11/25/2014,139.7394,140.4697,138.8029,138.9748,4062378,4062378,-0.335065,-0.241,139.2758,25-Nov-14,-0.115766515
11/26/2014,139.1208,139.2669,138.3304,139.138,3967223,3967223,0.163236,0.117,138.8118,26-Nov-14,-0.114728148
11/28/2014,139.8253,140.358,138.6998,139.327,2405512,2405512,0.189011,0.136,139.6325,28-Nov-14,-0.113525626
12/1/2014,138.8717,140.3107,138.6225,138.7857,4168384,4168384,-0.541261,-0.388,138.9519,1-Dec-14,-0.116969672
12/2/2014,139.5848,139.8081,138.8717,139.7566,3465747,3465747,0.970832,0.7,139.4405,2-Dec-14,-0.110792277
12/3/2014,139.5848,141.346,139.181,141.346,6434994,6434994,1.5894,1.137,140.5393,3-Dec-14,-0.100679647
